method,model_name,task_name,seed,train_subset_size,primary_metric_name,primary_metric,trainable_parameters,trainable_percentage,epoch,eval_accuracy,eval_loss,eval_matthews_correlation,eval_primary_metric,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_correct,eval_total,eval_f1
lora,roberta-base,rte,42,5000,accuracy,0.7509025270758123,887042,0.7066137476531099,10.0,0.7509025270758123,0.7256984114646912,,0.7509025270758123,0.4962,558.237,36.275,,,
lora,roberta-base,rte,456,50,accuracy,0.5415162454873647,887042,0.7066137476531099,10.0,0.5415162454873647,0.6918522119522095,,0.5415162454873647,1.0821,255.977,16.634,,,
lora,roberta-base,rte,456,100,accuracy,0.5270758122743683,887042,0.7066137476531099,10.0,0.5270758122743683,0.6949969530105591,,0.5270758122743683,1.8174,152.417,9.904,,,
lora,roberta-base,rte,456,200,accuracy,0.5379061371841155,887042,0.7066137476531099,10.0,0.5379061371841155,0.6874436140060425,,0.5379061371841155,1.644,168.495,10.949,,,
lora,roberta-base,rte,456,500,accuracy,0.6498194945848376,887042,0.7066137476531099,10.0,0.6498194945848376,0.8408560156822205,,0.6498194945848376,1.3062,212.061,13.78,,,
lora,roberta-base,rte,456,1000,accuracy,0.7075812274368231,887042,0.7066137476531099,10.0,0.7075812274368231,0.7829015851020813,,0.7075812274368231,1.0625,260.715,16.942,,,
lora,roberta-base,rte,456,2000,accuracy,0.7472924187725631,887042,0.7066137476531099,10.0,0.7472924187725631,0.6464858651161194,,0.7472924187725631,0.8957,309.244,20.095,,,
lora,roberta-base,rte,456,5000,accuracy,0.7364620938628159,887042,0.7066137476531099,10.0,0.7364620938628159,0.764506995677948,,0.7364620938628159,0.7114,389.384,25.303,,,
lora,roberta-base,rte,789,50,accuracy,0.4729241877256318,887042,0.7066137476531099,10.0,0.4729241877256318,0.7083321809768677,,0.4729241877256318,1.1297,245.196,15.933,,,
lora,roberta-base,rte,789,100,accuracy,0.5234657039711191,887042,0.7066137476531099,10.0,0.5234657039711191,0.6911788582801819,,0.5234657039711191,1.0939,253.221,16.455,,,
lora,roberta-base,rte,789,200,accuracy,0.5703971119133574,887042,0.7066137476531099,10.0,0.5703971119133574,0.6865499019622803,,0.5703971119133574,1.3216,209.59,13.62,,,
lora,roberta-base,rte,789,500,accuracy,0.5595667870036101,887042,0.7066137476531099,10.0,0.5595667870036101,0.9307857155799866,,0.5595667870036101,1.7238,160.69,10.442,,,
lora,roberta-base,rte,789,1000,accuracy,0.6787003610108303,887042,0.7066137476531099,10.0,0.6787003610108303,0.8747295141220093,,0.6787003610108303,0.8214,337.215,21.913,,,
